Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Belgium,BEL,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,13604.3284800921,12774.7417575537,13082.5218395578,13299.6028359706,13383.0430316232,13433.5175597776,13359.9420425872,12843.2170943653,12883.666753148,12994.7955330791
Belgium,BEL,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,1130823991476.88,1271375000685.85,1398325571296.63,1377552768996.28,1394678226935.47,1358983058273,1343450347416.72,1392440977287.49,1411372271257.03,1424723471538.32
Belgium,BEL,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,1809596593627.8,1758228828421.68,1860162246739.91,1903155259565.38,1924905388470.6,1914983881249.91,1921620538881.56,1899141322958.4,1930974416339.9,1956515664690.63
Belgium,BEL,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,1222609276496.39,1372022037579.95,1506880543150.57,1484474703928.13,1502886539440.4,1465841231334.3,1448754171509.68,1499144252259.15,1518490154384.75,1532854660893.23
Belgium,BEL,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,1956475630832.81,1897417125868.89,2004570576590.71,2050873043891.51,2074252212558.99,2065560945287.96,2072243144018.33,2044673235692.26,2077528161276.3,2105007894966.09
Belgium,BEL,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,91785285019.5072,100647036894.096,108554971853.943,106921934931.851,108208312504.929,106858173061.296,105303824092.959,106703274971.655,107117883127.722,108131189354.91
Belgium,BEL,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,146879037205.015,139188297447.218,144408329850.805,147717784326.133,149346824088.397,150577064038.048,150622605136.768,145531912733.867,146553744936.405,148492230275.453
Belgium,BEL,Natural capital (constant 2018 US$),NW.NCA.TO,43137974941.6635,45476517951.1938,44533471355.7639,45839367330.6876,46855349642.8358,48032669033.0742,49384498115.7535,49721110117.1867,48861911582.8254,48679657310.497
Belgium,BEL,Natural capital per capita (constant 2018 US$),NW.NCA.PC,3995.55438434161,4173.84782711033,4034.46333189385,4127.09534286224,4198.73113713262,4285.16591833498,4380.31218507763,4387.89678093241,4295.49300175219,4260.0356409007
Belgium,BEL,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,2646.28515017496,2640.76162997546,2585.64834702553,2569.57285772477,2662.41660609009,2674.85006929647,2682.72114326089,2630.2535780589,2509.41301318604,2458.87793269342
Belgium,BEL,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,1398.1482581339,1406.44743865973,1338.13499470024,1339.1911411485,1389.65934598132,1327.47142544123,1342.72270122664,1335.41064847913,1208.368955146,1210.13268860667
Belgium,BEL,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,1248.13689204105,1234.31419131573,1247.51335232529,1230.38171657628,1272.75726010876,1347.37864385524,1339.99844203424,1294.84292957977,1301.04405804004,1248.74524408675
Belgium,BEL,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,0,20.5760083984664,13.8990868513254,26.0936811358411,0,42.7287413111667,0,29.8739419381039,27.1708980427517,25.2225775741182
Belgium,BEL,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,998.297641766709,1142.94680559635,1048.86924818238,1131.40949464372,1124.365158928,1135.08057456947,1254.05356315706,1282.42038629018,1317.23392504106,1341.79942111722
Belgium,BEL,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,186.950428727937,195.59706174485,199.669091298943,199.405737026248,201.918465388729,209.54898385929,211.307399220896,211.807943933331,211.508636495877,208.107143291292
Belgium,BEL,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,0,0,0,0,0,0,0,0,0,0
